Code,Area,Percent_edu
E09000002,Barking and Dagenham,33.1
E09000003,Barnet,53.2
E09000004,Bexley,35.5
E09000005,Brent,47.7
E09000006,Bromley,54.1
E09000007,Camden,60.9
E09000008,Croydon,42.9
E09000009,Ealing,58.7
E09000010,Enfield,40
E09000011,Greenwich,49.7
E09000012,Hackney,57.4
E09000013,Hammersmith and Fulham,70
E09000014,Haringey,59
E09000015,Harrow,50.1
E09000016,Havering,33.7
E09000017,Hillingdon,51.9
E09000018,Hounslow,55.2
E09000019,Islington,61.7
E09000020,Kensington and Chelsea,65.5
E09000021,Kingston upon Thames,59.3
E09000022,Lambeth,63.8
E09000023,Lewisham,60.2
E09000024,Merton,60
E09000025,Newham,44
E09000026,Redbridge,45.6
E09000027,Richmond upon Thames,65.4
E09000028,Southwark,62
E09000029,Sutton,45.9
E09000030,Tower Hamlets,60.5
E09000031,Waltham Forest,50.2
E09000032,Wandsworth,71.6
E09000033,Westminster,65.5
