Code,Area,Homeownership_number
E09000002,Barking and Dagenham,76200.00 
E09000003,Barnet,146100.00 
E09000004,Bexley,98400.00 
E09000005,Brent,122100.00 
E09000006,Bromley,129800.00 
E09000007,Camden,115200.00 
E09000008,Croydon,147200.00 
E09000009,Ealing,121100.00 
E09000010,Enfield,126000.00 
E09000011,Greenwich,105100.00 
E09000012,Hackney,108400.00 
E09000013,Hammersmith and Fulham,76900.00 
E09000014,Haringey,112700.00 
E09000015,Harrow,89800.00 
E09000016,Havering,103200.00 
E09000017,Hillingdon,114000.00 
E09000018,Hounslow,105900.00 
E09000019,Islington,108300.00 
E09000020,Kensington and Chelsea,74800.00 
E09000021,Kingston upon Thames,69600.00 
E09000022,Lambeth,126800.00 
E09000023,Lewisham,124500.00 
E09000024,Merton,78500.00 
E09000025,Newham,128900.00 
E09000026,Redbridge,106000.00 
E09000027,Richmond upon Thames,77400.00 
E09000028,Southwark,129200.00 
E09000029,Sutton,79200.00 
E09000030,Tower Hamlets,126500.00 
E09000031,Waltham Forest,108800.00 
E09000032,Wandsworth,134100.00 
E09000033,Westminster,117200.00 
